Component,Type,Category,Location,Props,Methods/Functions,Dependencies,State/Hooks,Status,Description
UI Components - Avatar,UI Element,Design System,components/ui/avatar.tsx,"image fallback name",onError,React,imageLoaded,✅,User avatar display component
UI Components - Badge,UI Element,Design System,components/ui/badge.tsx,"label variant icon",onClick,React,isActive,✅,Small badge/tag component
UI Components - Button,UI Element,Design System,components/ui/button.tsx,"label onClick disabled variant loading",onClick disable enable,React,isLoading hover,✅,Styled button component
UI Components - Card,UI Element,Design System,components/ui/card.tsx,"children header footer",onClick,React,isExpanded,✅,Card container component
UI Components - Checkbox,UI Element,Design System,components/ui/checkbox.tsx,"label checked onChange disabled",toggle check uncheck,React,checked indeterminate,✅,Checkbox input component
UI Components - Dialog,UI Element,Design System,components/ui/dialog.tsx,"isOpen title content onClose",open close confirm,React Radix UI,isOpen visible,✅,Modal dialog component
UI Components - Input,UI Element,Design System,components/ui/input.tsx,"type placeholder value onChange disabled",onChange clear validate,React,value error,✅,Text input component
UI Components - Label,UI Element,Design System,components/ui/label.tsx,"htmlFor text required",onClick,React,focused,✅,Form label component
UI Components - Select,UI Element,Design System,components/ui/select.tsx,"items selectedValue onChange disabled",select clear filter,React Radix UI,selectedValue isOpen,✅,Dropdown select component
UI Components - Textarea,UI Element,Design System,components/ui/textarea.tsx,"value onChange placeholder maxLength disabled",clear validate,React,value characterCount,✅,Multi-line text input component
UI Components - Tabs,UI Element,Design System,components/ui/tabs.tsx,"tabs activeTab onChange",selectTab switchTab,React Radix UI,activeTab,✅,Tab navigation component
UI Components - Toggle,UI Element,Design System,components/ui/toggle.tsx,"checked onChange disabled label",toggle,React,checked,✅,Toggle switch component
Hooks - use-toast,Custom Hook,Utilities,hooks/use-toast.ts,message type duration,showToast dismissToast,React toast library,toasts notifications,✅,Toast notification hook
Hooks - use-mobile,Custom Hook,Utilities,hooks/use-mobile.tsx,breakpoint,isMobile useMediaQuery,React,windowSize isMobile,✅,Mobile detection hook
