Route,Method,Endpoint,Category,Purpose,Request Body,Response Body,Status Codes,Authentication,Rate Limit,Validation,Database Operations,Error Handling,Tests
Get Shared Access,GET,/api/shared-access/:token,Report Sharing,Access shared report with token,None,"{ success boolean report object patientInfo object }","200 OK 401 Unauthorized 404 Not Found",Share token validation,100 requests per hour,Token format validation expiry check,"Prisma ShareToken.findUnique Report.findUnique","Token invalid Token expired",✅
Revoke Share,DELETE,/api/share-report/:tokenId,Report Sharing,Revoke report share access,None,"{ success boolean message string }","200 OK 404 Not Found 403 Forbidden",JWT Bearer token Ownership check,10 requests per hour,TokenId validation,"Prisma ShareToken.delete Audit logging","Token not found Insufficient permissions",✅
List Share Tokens,GET,/api/share-report?reportId=:id,Report Sharing,Get all share tokens for report,None,"{ success boolean tokens array total number }","200 OK 404 Not Found 401 Unauthorized",JWT Bearer token,20 requests per hour,ReportId validation,"Prisma ShareToken.findMany(reportId)","Report not found Insufficient permissions",✅
Comprehensive Report Data,GET,/api/comprehensive-report-data/:reportId,Report Generation,Get all data for comprehensive report,"None - Query: format (json|pdf)","{ success boolean data object reportSections array patientInfo object }","200 OK 404 Not Found 401 Unauthorized",JWT Bearer token,10 requests per hour,ReportId format validation,"Prisma Report.findUnique Patient.findUnique ImageUpload.findMany","Report not found Invalid format",✅
Generate PDF,POST,/api/comprehensive-report-data/:reportId/pdf,Report Generation,Generate PDF from report data,"{ includeImages boolean pageFormat 'A4'|'Letter' }","{ success boolean pdfUrl string filename string }","201 Created 400 Bad Request 404 Not Found",JWT Bearer token,5 requests per hour,ReportId field validation,"PDF generation library File storage Audit logging","Report not found PDF generation failed",✅
Nutrition Analysis,GET,/api/nutrition,Health Analysis,Get nutrition analysis for patient,None,"{ success boolean nutrition object dietData array macros object }","200 OK 401 Unauthorized",JWT Bearer token,30 requests per hour,Query validation,"Prisma NutritionData.findUnique","No nutrition data",✅
Upload Signature,POST,/api/upload-signature,File Operations,Upload signature image,"FormData: file image/jpeg","{ success boolean filename string url string }","201 Created 400 Bad Request 413 Payload",JWT Bearer token,5 uploads per hour,File type image size validation,"File storage Audit logging","Invalid file type File too large",✅
Lifestyle Upload,POST,/api/lifestyle-upload,File Operations,Upload lifestyle report section,"FormData: files sections data","{ success boolean uploaded array }","201 Created 400 Bad Request",JWT Bearer token,5 uploads per hour,File validation section data,"File storage Database update","Invalid files Validation failed",✅
Audit Logs,GET,/api/audit-logs?page=1&limit=50,System,Get system audit logs,None,"{ success boolean logs array total number }","200 OK 401 Unauthorized 403 Forbidden",JWT Bearer token Admin only,20 requests per hour,Page limit validation,"Prisma AuditLog.findMany","Insufficient permissions",✅
Health Summary,GET,/api/health-summary/:patientId,Report Generation,Get health summary for patient,None,"{ success boolean summary object keyFindings array recommendations array }","200 OK 404 Not Found 401 Unauthorized",JWT Bearer token,20 requests per hour,PatientId validation,"Prisma Report.findUnique health analysis","Patient not found No reports",✅
